no_login, showStudentInfo, success,Apr 22, 2016 12:08:51 PM
no_login, showStudentInfo, success,Apr 22, 2016 12:08:51 PM
no_login, showStudentInfo, success,Apr 22, 2016 12:08:51 PM
no_login, showStudentInfo, success,Apr 22, 2016 12:08:52 PM
no_login, showStudentInfo, success,Apr 22, 2016 12:08:54 PM
no_login, showStudentInfo, success,Apr 22, 2016 12:08:55 PM
no_login, showStudentInfo, success,Apr 22, 2016 12:08:56 PM
no_login, showStudentInfo, success,Apr 22, 2016 12:09:00 PM
no_login, showStudentInfo, success,Apr 22, 2016 12:09:01 PM
no_login, showStudentInfo, success,Apr 22, 2016 12:09:01 PM
zerry, login, success,Apr 22, 2016 12:18:50 PM
zerry, showTestByDate, query_success,Apr 22, 2016 12:20:08 PM
zerry, showTestByDate, query_success,Apr 22, 2016 12:20:10 PM
zerry, showTestByDate, query_success,Apr 22, 2016 12:20:14 PM
zerry, showTestByDate, query_success,Apr 22, 2016 12:20:17 PM
zerry, showTestByDate, query_success,Apr 22, 2016 12:20:20 PM
zerry, showInfo, query_success,Apr 22, 2016 12:20:30 PM
zerry, showInfo, query_success,Apr 22, 2016 12:20:33 PM
zerry, showInfo, query_success,Apr 22, 2016 12:20:57 PM
zerry, showInfo, query_success,Apr 22, 2016 12:21:02 PM
zerry, showMsg, null,Apr 22, 2016 9:39:36 PM
zerry, showMsg, null,Apr 22, 2016 9:41:56 PM
zerry, showMsg, null,Apr 22, 2016 9:47:55 PM
zerry, showMsg, null,Apr 22, 2016 9:47:57 PM
zerry, showMsg, null,Apr 22, 2016 9:48:01 PM
zerry, showMsg, null,Apr 22, 2016 9:49:41 PM
zerry, showMsg, null,Apr 22, 2016 9:50:24 PM
zerry, showMsg, null,Apr 22, 2016 9:51:55 PM
zerry, showMsg, null,Apr 22, 2016 9:52:10 PM
zerry, showMsg, null,Apr 22, 2016 9:52:13 PM
zerry, showMsg, null,Apr 22, 2016 9:52:15 PM
zerry, showMsg, null,Apr 22, 2016 9:52:17 PM
zerry, showMsg, null,Apr 22, 2016 9:52:22 PM
zerry, showMsg, null,Apr 22, 2016 9:52:26 PM
zerry, showMsg, null,Apr 22, 2016 9:52:44 PM
zerry, showMsg, null,Apr 22, 2016 9:52:49 PM
zerry, showMsg, null,Apr 22, 2016 9:53:18 PM
zerry, showMsg, null,Apr 22, 2016 9:54:01 PM
zerry, showMsg, null,Apr 22, 2016 9:56:50 PM
zerry, showMsg, null,Apr 22, 2016 10:04:26 PM
zerry, showMsg, null,Apr 22, 2016 10:04:31 PM
zerry, showMsg, null,Apr 22, 2016 10:04:34 PM
zerry, showMsg, null,Apr 22, 2016 10:04:36 PM
zerry, showMsg, null,Apr 22, 2016 10:04:38 PM
zerry, showMsg, null,Apr 22, 2016 10:05:09 PM
zerry, showMsg, null,Apr 22, 2016 10:07:05 PM
zerry, showMsg, null,Apr 22, 2016 10:07:08 PM
zerry, showMsg, null,Apr 22, 2016 10:07:10 PM
zerry, showMsg, null,Apr 22, 2016 10:07:20 PM
zerry, showMsg, null,Apr 22, 2016 10:07:22 PM
zerry, showMsg, null,Apr 22, 2016 10:08:21 PM
zerry, showMsg, null,Apr 22, 2016 10:08:26 PM
zerry, showMsg, null,Apr 22, 2016 10:08:45 PM
zerry, showMsg, null,Apr 22, 2016 10:08:50 PM
zerry, showMsg, null,Apr 22, 2016 10:10:14 PM
zerry, showMsg, null,Apr 22, 2016 10:10:38 PM
zerry, showMsg, null,Apr 22, 2016 10:10:40 PM
zerry, login, success,Apr 22, 2016 11:43:43 PM
zerry, showMsg, null,Apr 22, 2016 11:43:48 PM
zerry, showMsg, null,Apr 22, 2016 11:45:58 PM
zerry, showMsg, null,Apr 23, 2016 12:24:45 AM
zerry, reply, null,Apr 23, 2016 12:24:52 AM
zerry, showMsg, null,Apr 23, 2016 12:24:54 AM
zerry, showMsg, null,Apr 23, 2016 12:25:49 AM
zerry, showMsg, null,Apr 23, 2016 12:25:52 AM
zerry, showMsg, null,Apr 23, 2016 12:27:36 AM
zerry, showMsg, null,Apr 23, 2016 12:28:17 AM
zerry, showMsg, null,Apr 23, 2016 12:28:25 AM
zerry, showMsg, null,Apr 23, 2016 12:29:24 AM
zerry, showMsg, null,Apr 23, 2016 12:29:53 AM
zerry, showMsg, null,Apr 23, 2016 12:30:34 AM
zerry, showMsg, null,Apr 23, 2016 12:30:38 AM
zerry, showMsg, null,Apr 23, 2016 12:30:39 AM
zerry, showMsg, null,Apr 23, 2016 12:30:55 AM
zerry, showMsg, null,Apr 23, 2016 12:33:47 AM
zerry, showMsg, null,Apr 23, 2016 12:34:31 AM
zerry, reply, null,Apr 23, 2016 12:34:41 AM
zerry, showMsg, null,Apr 23, 2016 12:34:45 AM
zerry, showMsg, null,Apr 23, 2016 12:35:17 AM
zerry, showMsg, null,Apr 23, 2016 12:35:59 AM
